type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2021-10-15 13:15:46,52.08746256,5.16379223,5,57.500,,0.000,246,16,18,,
T,2021-10-15 13:15:47,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:15:48,52.08746256,5.16379223,5,57.500,,0.000,246,17,18,,
T,2021-10-15 13:15:49,52.08746256,5.16379223,5,57.500,,0.000,246,17,18,,
T,2021-10-15 13:15:50,52.08746256,5.16379223,5,57.500,,0.000,246,17,18,,
T,2021-10-15 13:15:51,52.08746256,5.16379223,5,57.500,,0.000,246,16,17,,
T,2021-10-15 13:15:52,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:15:53,52.08746256,5.16379223,5,57.500,,0.000,246,15,18,,
T,2021-10-15 13:15:54,52.08746256,5.16379223,5,57.500,,0.000,246,16,17,,
T,2021-10-15 13:15:55,52.08746256,5.16379223,5,57.500,,0.000,246,16,17,,
T,2021-10-15 13:15:56,52.08746256,5.16379223,5,57.500,,0.000,246,16,17,,
T,2021-10-15 13:15:57,52.08746256,5.16379223,5,57.500,,0.000,246,15,18,,
T,2021-10-15 13:15:58,52.08746256,5.16379223,5,57.500,,0.000,246,14,18,,
T,2021-10-15 13:15:59,52.08746256,5.16379223,5,57.500,,0.000,246,14,19,,
T,2021-10-15 13:16:00,52.08746256,5.16379223,5,57.500,,0.000,246,14,18,,
T,2021-10-15 13:16:01,52.08746256,5.16379223,5,57.500,,0.000,246,15,18,,
T,2021-10-15 13:16:02,52.08746256,5.16379223,5,57.500,,0.000,246,16,18,,
T,2021-10-15 13:16:03,52.08746256,5.16379223,5,57.500,,0.000,246,17,18,,
T,2021-10-15 13:16:04,52.08746256,5.16379223,5,57.500,,0.000,246,16,18,,
T,2021-10-15 13:16:05,52.08746256,5.16379223,5,57.500,,0.000,246,16,16,,
T,2021-10-15 13:16:06,52.08746256,5.16379223,5,57.500,,0.000,246,17,17,,
T,2021-10-15 13:16:07,52.08746256,5.16379223,5,57.500,,0.000,246,17,17,,
T,2021-10-15 13:16:08,52.08746256,5.16379223,5,57.500,,0.000,246,16,17,,
T,2021-10-15 13:16:09,52.08746256,5.16379223,5,57.500,,0.000,246,17,17,,
T,2021-10-15 13:16:10,52.08746256,5.16379223,5,57.500,,0.000,246,17,17,,
