type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2021-10-15 14:35:40,52.08529144,5.17622486,5,52.600,,0.000,191,16,18,,
T,2021-10-15 14:35:41,52.08529144,5.17622486,5,52.600,,0.000,191,15,18,,
T,2021-10-15 14:35:42,52.08529144,5.17622486,5,52.600,,0.000,191,15,18,,
T,2021-10-15 14:35:43,52.08529144,5.17622486,5,52.600,,0.000,191,15,18,,
T,2021-10-15 14:35:44,52.08529144,5.17622486,5,52.600,,0.000,191,15,18,,
T,2021-10-15 14:35:45,52.08529144,5.17622486,5,52.600,,0.000,191,15,18,,
T,2021-10-15 14:35:46,52.08529144,5.17622486,5,52.600,,0.125,191,15,18,,
T,2021-10-15 14:35:47,52.08529144,5.17622486,5,52.600,,0.125,191,15,18,,
T,2021-10-15 14:35:48,52.08529144,5.17622486,5,52.600,,0.062,191,15,18,,
T,2021-10-15 14:35:49,52.08527367,5.17627330,5,49.000,,0.062,191,16,18,,
T,2021-10-15 14:35:50,52.08527208,5.17627314,5,49.000,,0.125,191,16,18,,
T,2021-10-15 14:35:51,52.08526847,5.17627121,5,49.100,,0.312,191,16,18,,
T,2021-10-15 14:35:52,52.08526961,5.17627138,5,49.100,,0.000,191,15,18,,
T,2021-10-15 14:35:53,52.08526961,5.17627138,5,49.100,,0.000,191,15,18,,
T,2021-10-15 14:35:54,52.08526961,5.17627138,5,49.100,,0.062,191,15,18,,
T,2021-10-15 14:35:55,52.08526961,5.17627138,5,49.100,,0.062,191,15,18,,
T,2021-10-15 14:35:56,52.08526961,5.17627138,5,49.100,,0.000,191,15,18,,
T,2021-10-15 14:35:57,52.08526961,5.17627138,5,49.100,,0.062,191,14,18,,
T,2021-10-15 14:35:58,52.08526961,5.17627138,5,49.100,,0.062,191,13,18,,
T,2021-10-15 14:35:59,52.08526961,5.17627138,5,49.100,,0.062,191,15,18,,
T,2021-10-15 14:36:00,52.08526961,5.17627138,5,49.100,,0.125,191,15,18,,
T,2021-10-15 14:36:01,52.08526961,5.17627138,5,49.100,,0.000,191,15,18,,
T,2021-10-15 14:36:02,52.08526961,5.17627138,5,49.100,,0.062,191,14,18,,
T,2021-10-15 14:36:03,52.08526961,5.17627138,5,49.100,,0.062,191,15,18,,
T,2021-10-15 14:36:04,52.08526961,5.17627138,5,49.100,,0.062,191,15,18,,
T,2021-10-15 14:36:05,52.08526961,5.17627138,5,49.100,,0.062,191,15,18,,
T,2021-10-15 14:36:06,52.08526961,5.17627138,5,49.100,,0.000,191,17,18,,
T,2021-10-15 14:36:07,52.08526961,5.17627138,5,49.100,,0.062,191,17,18,,
T,2021-10-15 14:36:08,52.08526961,5.17627138,5,49.100,,0.000,191,17,18,,
T,2021-10-15 14:36:09,52.08526961,5.17627138,5,49.100,,0.000,191,16,18,,
T,2021-10-15 14:36:10,52.08526961,5.17627138,5,49.100,,0.000,191,17,18,,
T,2021-10-15 14:36:11,52.08526961,5.17627138,5,49.100,,0.000,191,16,18,,
T,2021-10-15 14:36:12,52.08526961,5.17627138,5,49.100,,0.000,191,16,18,,
T,2021-10-15 14:36:13,52.08526961,5.17627138,5,49.100,,0.000,191,14,18,,
T,2021-10-15 14:36:14,52.08526961,5.17627138,5,49.100,,0.000,191,14,19,,
T,2021-10-15 14:36:15,52.08526961,5.17627138,5,49.100,,0.062,191,15,19,,
T,2021-10-15 14:36:16,52.08526961,5.17627138,5,49.100,,0.000,191,15,19,,
T,2021-10-15 14:36:17,52.08526961,5.17627138,5,49.100,,0.125,191,16,19,,
T,2021-10-15 14:36:18,52.08526961,5.17627138,5,49.100,,0.062,191,17,19,,
T,2021-10-15 14:36:19,52.08526961,5.17627138,5,49.100,,0.250,190,15,19,,
T,2021-10-15 14:36:20,52.08526961,5.17627138,5,49.100,,0.188,190,16,19,,
T,2021-10-15 14:36:21,52.08522552,5.17627280,5,50.200,,0.125,190,15,19,,
T,2021-10-15 14:36:22,52.08522204,5.17627372,5,50.200,,0.250,190,16,19,,
T,2021-10-15 14:36:23,52.08521978,5.17626928,5,50.300,,0.125,190,14,18,,
T,2021-10-15 14:36:24,52.08521827,5.17626660,5,50.300,,0.188,190,16,19,,
T,2021-10-15 14:36:25,52.08521827,5.17626660,5,50.300,,0.125,190,16,19,,
T,2021-10-15 14:36:26,52.08521827,5.17626660,5,50.300,,0.125,190,17,19,,
T,2021-10-15 14:36:27,52.08521827,5.17626660,5,50.300,,0.062,190,16,19,,
T,2021-10-15 14:36:28,52.08521827,5.17626660,5,50.300,,0.125,190,16,19,,
T,2021-10-15 14:36:29,52.08521827,5.17626660,5,50.300,,0.188,190,16,19,,
T,2021-10-15 14:36:30,52.08521827,5.17626660,5,50.300,,0.062,190,15,19,,
T,2021-10-15 14:36:31,52.08521827,5.17626660,5,50.300,,0.062,190,15,19,,
T,2021-10-15 14:36:32,52.08521827,5.17626660,5,50.300,,0.000,190,15,19,,
T,2021-10-15 14:36:33,52.08521827,5.17626660,5,50.300,,0.125,190,15,17,,
T,2021-10-15 14:36:34,52.08521827,5.17626660,5,50.300,,0.125,190,14,19,,
T,2021-10-15 14:36:35,52.08521827,5.17626660,5,50.300,,0.188,190,13,18,,
T,2021-10-15 14:36:36,52.08517338,5.17627507,5,51.400,,1.312,174,13,19,,
T,2021-10-15 14:36:37,52.08515238,5.17628202,5,51.300,,1.062,177,13,19,,
T,2021-10-15 14:36:38,52.08514413,5.17627523,5,51.400,,1.062,180,13,18,,
T,2021-10-15 14:36:39,52.08513403,5.17627507,5,51.200,,1.000,179,12,18,,
T,2021-10-15 14:36:40,52.08512275,5.17627330,5,51.200,,1.062,178,14,19,,
T,2021-10-15 14:36:41,52.08511412,5.17626886,5,51.100,,1.000,182,14,19,,
T,2021-10-15 14:36:42,52.08509841,5.17626811,5,50.900,,1.312,183,13,19,,
T,2021-10-15 14:36:43,52.08508709,5.17626660,5,50.900,,1.062,181,14,17,,
T,2021-10-15 14:36:44,52.08507544,5.17626761,5,50.800,,1.062,181,14,17,,
T,2021-10-15 14:36:45,52.08506773,5.17626618,5,50.700,,0.875,185,13,16,,
T,2021-10-15 14:36:46,52.08506241,5.17626434,5,50.600,,0.750,185,14,17,,
T,2021-10-15 14:36:47,52.08505402,5.17626300,5,50.900,,0.938,183,16,18,,
T,2021-10-15 14:36:48,52.08503873,5.17626794,5,51.000,,1.250,178,15,18,,
T,2021-10-15 14:36:49,52.08502804,5.17627372,5,50.900,,1.062,175,15,17,,
T,2021-10-15 14:36:50,52.08501320,5.17628202,5,50.700,,0.750,176,15,17,,
T,2021-10-15 14:36:51,52.08499891,5.17628236,5,50.500,,1.312,182,15,18,,
T,2021-10-15 14:36:52,52.08498470,5.17628043,5,50.400,,1.375,186,16,18,,
T,2021-10-15 14:36:53,52.08497398,5.17627398,5,50.200,,1.125,187,16,17,,
T,2021-10-15 14:36:54,52.08497683,5.17627037,5,50.000,,0.562,187,15,17,,
T,2021-10-15 14:36:55,52.08496543,5.17626710,5,49.800,,0.938,186,15,18,,
T,2021-10-15 14:36:56,52.08496983,5.17626207,5,49.800,,0.312,187,16,18,,
T,2021-10-15 14:36:57,52.08496350,5.17625562,5,49.800,,0.750,191,15,17,,
T,2021-10-15 14:36:58,52.08495290,5.17624757,5,49.600,,1.000,192,15,16,,
T,2021-10-15 14:36:59,52.08494091,5.17624506,5,49.500,,1.188,182,14,16,,
T,2021-10-15 14:37:00,52.08492649,5.17623735,5,49.300,,1.375,184,14,18,,
T,2021-10-15 14:37:01,52.08491128,5.17622997,5,49.100,,1.438,191,15,17,,
T,2021-10-15 14:37:02,52.08490130,5.17622670,5,49.000,,1.000,189,16,18,,
T,2021-10-15 14:37:03,52.08488810,5.17622704,5,49.100,,0.625,190,15,17,,
T,2021-10-15 14:37:04,52.08488932,5.17622503,5,48.900,,0.188,191,16,17,,
T,2021-10-15 14:37:05,52.08488932,5.17622503,5,48.900,,0.062,191,15,17,,
T,2021-10-15 14:37:06,52.08488932,5.17622503,5,48.900,,0.125,190,15,17,,
T,2021-10-15 14:37:07,52.08488932,5.17622503,5,48.900,,0.000,190,14,17,,
T,2021-10-15 14:37:08,52.08488932,5.17622503,5,48.900,,0.000,190,15,17,,
T,2021-10-15 14:37:09,52.08488932,5.17622503,5,48.900,,0.250,190,14,18,,
T,2021-10-15 14:37:10,52.08484552,5.17624062,5,48.900,,0.938,183,15,18,,
T,2021-10-15 14:37:11,52.08483408,5.17624305,5,49.000,,1.000,182,15,19,,
T,2021-10-15 14:37:12,52.08482780,5.17624330,5,49.100,,0.812,180,13,19,,
T,2021-10-15 14:37:13,52.08481790,5.17624439,5,49.000,,0.875,180,13,18,,
T,2021-10-15 14:37:14,52.08481589,5.17624003,5,49.000,,0.562,178,15,19,,
T,2021-10-15 14:37:15,52.08480169,5.17624196,5,49.100,,1.062,180,15,19,,
T,2021-10-15 14:37:16,52.08479234,5.17623659,5,49.200,,1.000,183,15,19,,
T,2021-10-15 14:37:17,52.08478035,5.17623475,5,49.200,,1.188,185,13,19,,
T,2021-10-15 14:37:18,52.08476791,5.17623072,5,49.300,,1.125,190,13,18,,
T,2021-10-15 14:37:19,52.08475575,5.17622511,5,49.400,,1.188,192,15,19,,
T,2021-10-15 14:37:20,52.08474205,5.17621966,5,49.200,,1.375,192,15,18,,
T,2021-10-15 14:37:21,52.08473388,5.17621689,5,49.200,,0.750,186,15,18,,
T,2021-10-15 14:37:22,52.08472621,5.17621522,5,49.100,,0.125,186,14,18,,
T,2021-10-15 14:37:23,52.08471590,5.17621614,5,49.000,,0.375,186,14,18,,
T,2021-10-15 14:37:24,52.08471590,5.17621614,5,49.000,,0.312,186,14,18,,
T,2021-10-15 14:37:25,52.08468141,5.17622092,5,48.700,,1.062,176,15,18,,
T,2021-10-15 14:37:26,52.08467034,5.17621966,5,48.500,,1.125,172,15,18,,
T,2021-10-15 14:37:27,52.08466334,5.17622033,5,48.200,,1.000,169,14,18,,
T,2021-10-15 14:37:28,52.08465161,5.17622695,5,48.300,,1.188,169,14,18,,
T,2021-10-15 14:37:29,52.08464138,5.17623383,5,48.500,,1.062,164,14,18,,
T,2021-10-15 14:37:30,52.08462831,5.17624615,5,48.600,,0.812,163,16,18,,
T,2021-10-15 14:37:31,52.08461636,5.17624497,5,48.700,,1.062,171,16,18,,
T,2021-10-15 14:37:32,52.08460702,5.17624397,5,48.700,,0.875,173,15,18,,
T,2021-10-15 14:37:33,52.08460224,5.17624011,5,48.800,,0.500,173,15,18,,
T,2021-10-15 14:37:34,52.08459763,5.17623408,5,48.900,,0.625,174,15,18,,
T,2021-10-15 14:37:35,52.08457978,5.17623718,5,48.600,,1.438,172,16,18,,
T,2021-10-15 14:37:36,52.08456477,5.17623886,5,48.500,,1.562,169,16,18,,
T,2021-10-15 14:37:37,52.08455346,5.17623751,5,48.400,,1.250,174,16,18,,
T,2021-10-15 14:37:38,52.08454055,5.17624095,5,48.400,,1.312,173,16,18,,
T,2021-10-15 14:37:39,52.08452814,5.17624740,5,48.500,,1.250,171,16,18,,
T,2021-10-15 14:37:40,52.08451754,5.17624833,5,48.500,,1.062,175,16,18,,
T,2021-10-15 14:37:41,52.08450907,5.17624833,5,48.500,,0.812,172,16,18,,
T,2021-10-15 14:37:42,52.08450396,5.17625017,5,48.600,,0.562,173,16,18,,
T,2021-10-15 14:37:43,52.08449315,5.17625285,5,48.600,,1.000,173,16,18,,
T,2021-10-15 14:37:44,52.08447961,5.17625797,5,48.700,,1.188,170,16,18,,
T,2021-10-15 14:37:45,52.08446670,5.17626266,5,48.800,,1.188,171,16,18,,
T,2021-10-15 14:37:46,52.08445551,5.17626224,5,48.900,,1.062,171,16,18,,
T,2021-10-15 14:37:47,52.08444407,5.17626274,5,48.900,,1.125,172,16,18,,
T,2021-10-15 14:37:48,52.08443812,5.17624975,5,49.900,,0.812,172,16,18,,
T,2021-10-15 14:37:49,52.08442760,5.17624858,5,50.200,,0.875,174,16,18,,
T,2021-10-15 14:37:50,52.08441193,5.17624673,5,50.400,,1.250,177,16,18,,
T,2021-10-15 14:37:51,52.08439521,5.17624548,5,50.500,,1.375,178,16,18,,
T,2021-10-15 14:37:52,52.08437957,5.17624422,5,50.700,,1.312,181,16,18,,
T,2021-10-15 14:37:53,52.08436369,5.17624967,5,50.700,,1.500,177,15,18,,
T,2021-10-15 14:37:54,52.08434596,5.17625604,5,50.900,,1.562,171,16,18,,
T,2021-10-15 14:37:55,52.08433280,5.17626350,5,51.100,,1.250,166,16,18,,
T,2021-10-15 14:37:56,52.08432165,5.17626232,5,51.500,,1.000,164,16,18,,
T,2021-10-15 14:37:57,52.08431172,5.17626735,5,51.700,,0.500,162,16,18,,
T,2021-10-15 14:37:58,52.08430233,5.17626895,5,51.700,,0.125,161,16,19,,
T,2021-10-15 14:37:59,52.08429517,5.17627004,5,51.700,,0.125,161,16,19,,
T,2021-10-15 14:38:00,52.08429517,5.17627004,5,51.700,,0.125,161,16,19,,
T,2021-10-15 14:38:01,52.08429517,5.17627004,5,51.700,,0.188,161,16,19,,
T,2021-10-15 14:38:02,52.08426394,5.17626668,5,52.200,,0.750,165,16,19,,
T,2021-10-15 14:38:03,52.08425007,5.17626685,5,52.400,,0.688,164,16,19,,
T,2021-10-15 14:38:04,52.08423352,5.17627238,5,52.500,,0.625,162,15,19,,
T,2021-10-15 14:38:05,52.08421881,5.17628144,5,52.600,,0.438,161,15,19,,
T,2021-10-15 14:38:06,52.08420929,5.17628001,5,52.800,,0.812,166,15,18,,
T,2021-10-15 14:38:07,52.08419852,5.17628294,5,52.500,,1.000,164,13,17,,
T,2021-10-15 14:38:08,52.08418608,5.17628822,5,52.500,,1.062,161,14,17,,
T,2021-10-15 14:38:09,52.08417187,5.17628839,5,53.000,,0.688,162,14,17,,
T,2021-10-15 14:38:10,52.08415796,5.17628512,5,53.200,,0.625,163,12,17,,
T,2021-10-15 14:38:11,52.08414111,5.17629292,5,53.300,,0.500,160,14,18,,
T,2021-10-15 14:38:12,52.08413122,5.17629325,5,53.300,,0.750,159,14,18,,
T,2021-10-15 14:38:13,52.08413122,5.17629325,5,53.300,,0.312,159,13,19,,
T,2021-10-15 14:38:14,52.08410884,5.17630289,5,53.500,,1.000,156,15,19,,
T,2021-10-15 14:38:15,52.08409337,5.17632033,5,53.600,,0.812,155,16,19,,
T,2021-10-15 14:38:16,52.08407971,5.17631756,5,53.800,,1.062,158,15,19,,
T,2021-10-15 14:38:17,52.08405515,5.17632117,5,54.200,,0.750,162,16,19,,
T,2021-10-15 14:38:18,52.08404501,5.17631798,5,54.400,,0.875,163,15,19,,
T,2021-10-15 14:38:19,52.08403118,5.17631748,5,54.500,,1.125,173,13,19,,
T,2021-10-15 14:38:20,52.08401852,5.17631312,5,54.500,,1.125,179,15,19,,
T,2021-10-15 14:38:21,52.08400344,5.17631262,5,55.000,,0.812,185,16,19,,
T,2021-10-15 14:38:22,52.08399002,5.17630918,5,55.300,,1.062,196,16,19,,
T,2021-10-15 14:38:23,52.08398026,5.17630021,5,55.300,,0.438,200,15,19,,
T,2021-10-15 14:38:24,52.08396287,5.17630348,5,55.500,,0.875,187,16,19,,
T,2021-10-15 14:38:25,52.08393852,5.17630968,5,55.900,,1.125,178,16,18,,
T,2021-10-15 14:38:26,52.08391974,5.17631086,5,56.000,,1.438,181,16,18,,
T,2021-10-15 14:38:27,52.08390302,5.17630725,5,55.800,,0.812,181,14,18,,
T,2021-10-15 14:38:28,52.08388466,5.17630599,5,56.000,,0.625,182,15,18,,
T,2021-10-15 14:38:29,52.08387037,5.17630147,5,56.400,,0.688,185,15,18,,
T,2021-10-15 14:38:30,52.08386019,5.17630004,5,56.800,,0.188,185,15,18,,
T,2021-10-15 14:38:31,52.08386019,5.17630004,5,56.800,,0.312,185,15,18,,
T,2021-10-15 14:38:32,52.08382167,5.17629342,5,57.500,,1.312,186,15,18,,
T,2021-10-15 14:38:33,52.08380692,5.17628688,5,57.900,,0.750,189,15,18,,
T,2021-10-15 14:38:34,52.08379481,5.17629543,5,58.100,,1.125,188,13,18,,
T,2021-10-15 14:38:35,52.08376220,5.17631689,5,58.300,,1.875,178,16,18,,
T,2021-10-15 14:38:36,52.08375479,5.17632469,5,58.400,,1.312,176,16,18,,
T,2021-10-15 14:38:37,52.08374531,5.17632888,5,58.400,,1.125,175,14,18,,
T,2021-10-15 14:38:38,52.08373630,5.17633374,5,58.300,,1.125,173,16,17,,
T,2021-10-15 14:38:39,52.08371916,5.17633751,5,58.400,,1.500,174,16,17,,
T,2021-10-15 14:38:40,52.08370500,5.17633089,5,58.600,,1.438,177,15,17,,
T,2021-10-15 14:38:41,52.08368735,5.17632787,5,58.600,,1.500,179,15,17,,
T,2021-10-15 14:38:42,52.08367235,5.17633189,5,58.400,,1.500,180,15,17,,
T,2021-10-15 14:38:43,52.08365827,5.17633634,5,58.200,,1.375,179,14,17,,
T,2021-10-15 14:38:44,52.08365190,5.17634137,5,58.100,,0.812,180,13,16,,
T,2021-10-15 14:38:45,52.08363807,5.17634137,5,58.200,,1.188,179,15,16,,
T,2021-10-15 14:38:46,52.08361577,5.17633508,5,57.900,,1.125,180,15,17,,
T,2021-10-15 14:38:47,52.08358572,5.17631027,5,56.700,,1.062,181,14,17,,
T,2021-10-15 14:38:48,52.08357424,5.17630122,5,56.600,,1.062,182,15,17,,
T,2021-10-15 14:38:49,52.08356515,5.17629091,5,56.400,,1.062,186,14,16,,
T,2021-10-15 14:38:50,52.08355706,5.17628437,5,56.100,,1.000,183,15,16,,
T,2021-10-15 14:38:51,52.08354800,5.17627976,5,55.800,,0.938,180,14,16,,
T,2021-10-15 14:38:52,52.08354004,5.17627934,5,55.600,,0.875,178,14,16,,
T,2021-10-15 14:38:53,52.08352022,5.17628244,5,55.700,,0.562,180,15,17,,
T,2021-10-15 14:38:54,52.08351527,5.17628236,5,55.700,,0.438,179,15,17,,
T,2021-10-15 14:38:55,52.08351817,5.17627666,5,55.500,,0.188,179,14,16,,
T,2021-10-15 14:38:56,52.08351817,5.17627666,5,55.500,,0.188,179,14,16,,
T,2021-10-15 14:38:57,52.08350429,5.17627188,5,55.100,,1.062,172,14,16,,
T,2021-10-15 14:38:58,52.08349545,5.17627632,5,55.300,,1.000,164,16,17,,
T,2021-10-15 14:38:59,52.08349776,5.17627657,5,55.300,,0.250,162,15,17,,
T,2021-10-15 14:39:00,52.08349247,5.17627683,5,55.600,,0.312,160,16,18,,
T,2021-10-15 14:39:01,52.08349641,5.17626652,5,55.400,,0.000,159,14,17,,
T,2021-10-15 14:39:02,52.08349641,5.17626652,5,55.400,,0.250,159,16,17,,
T,2021-10-15 14:39:03,52.08349641,5.17626652,5,55.400,,0.125,160,16,17,,
T,2021-10-15 14:39:04,52.08349641,5.17626652,5,55.400,,0.312,160,16,18,,
T,2021-10-15 14:39:05,52.08348216,5.17625235,5,56.200,,0.812,164,15,17,,
T,2021-10-15 14:39:06,52.08347990,5.17625679,5,56.200,,0.500,162,16,18,,
T,2021-10-15 14:39:07,52.08348372,5.17626157,5,56.200,,0.375,161,15,18,,
T,2021-10-15 14:39:08,52.08348128,5.17626937,5,56.300,,0.562,158,16,18,,
T,2021-10-15 14:39:09,52.08346641,5.17626869,5,56.600,,1.000,156,15,18,,
T,2021-10-15 14:39:10,52.08345652,5.17626962,5,56.600,,1.000,159,16,17,,
T,2021-10-15 14:39:11,52.08344315,5.17626693,5,56.600,,1.250,155,17,18,,
T,2021-10-15 14:39:12,52.08342580,5.17627188,5,56.600,,0.750,153,16,18,,
T,2021-10-15 14:39:13,52.08341234,5.17627205,5,56.600,,1.062,150,17,18,,
T,2021-10-15 14:39:14,52.08340199,5.17627884,5,56.300,,1.000,143,16,18,,
T,2021-10-15 14:39:15,52.08339550,5.17628253,5,56.000,,0.875,136,16,18,,
T,2021-10-15 14:39:16,52.08338556,5.17629158,5,55.700,,0.938,127,15,19,,
T,2021-10-15 14:39:17,52.08337789,5.17629661,5,55.500,,0.625,119,16,19,,
T,2021-10-15 14:39:18,52.08337764,5.17629594,5,55.200,,0.250,114,15,19,,
T,2021-10-15 14:39:19,52.08336846,5.17628621,5,54.700,,0.062,112,13,18,,
T,2021-10-15 14:39:20,52.08336846,5.17628621,5,54.700,,0.000,115,14,19,,
T,2021-10-15 14:39:21,52.08336846,5.17628621,5,54.700,,0.125,117,14,19,,
T,2021-10-15 14:39:22,52.08332463,5.17627372,5,54.200,,0.812,157,14,18,,
T,2021-10-15 14:39:23,52.08330522,5.17626769,5,54.300,,0.812,164,13,19,,
T,2021-10-15 14:39:24,52.08329630,5.17626585,5,54.100,,0.438,166,14,19,,
T,2021-10-15 14:39:25,52.08329604,5.17626702,5,54.100,,0.312,168,15,19,,
T,2021-10-15 14:39:26,52.08327802,5.17627154,5,54.200,,1.188,155,15,19,,
T,2021-10-15 14:39:27,52.08327450,5.17628579,5,54.300,,1.062,144,15,19,,
T,2021-10-15 14:39:28,52.08327425,5.17630256,5,54.200,,1.188,132,14,19,,
T,2021-10-15 14:39:29,52.08326122,5.17631480,5,54.300,,1.250,121,14,19,,
T,2021-10-15 14:39:30,52.08325946,5.17631765,5,54.600,,0.625,115,14,19,,
T,2021-10-15 14:39:31,52.08326055,5.17633139,5,54.400,,0.812,111,14,19,,
T,2021-10-15 14:39:32,52.08324902,5.17634346,5,54.500,,1.250,116,13,19,,
T,2021-10-15 14:39:33,52.08324353,5.17636852,5,54.400,,1.500,115,13,19,,
T,2021-10-15 14:39:34,52.08323775,5.17639082,5,54.400,,1.438,114,13,19,,
T,2021-10-15 14:39:35,52.08322434,5.17641085,5,54.200,,1.562,128,14,19,,
T,2021-10-15 14:39:36,52.08320640,5.17642133,5,54.200,,0.875,127,14,18,,
T,2021-10-15 14:39:37,52.08320590,5.17643139,5,53.900,,0.688,127,13,18,,
T,2021-10-15 14:39:38,52.08320355,5.17643776,5,53.800,,0.562,127,14,18,,
T,2021-10-15 14:39:39,52.08320393,5.17645100,5,53.500,,0.688,115,14,19,,
T,2021-10-15 14:39:40,52.08320150,5.17646609,5,53.400,,0.812,112,13,19,,
T,2021-10-15 14:39:41,52.08319768,5.17648461,5,53.300,,1.125,116,14,19,,
T,2021-10-15 14:39:42,52.08318423,5.17650339,5,53.300,,1.625,123,14,19,,
T,2021-10-15 14:39:43,52.08317991,5.17652024,5,53.400,,1.312,122,14,19,,
T,2021-10-15 14:39:44,52.08316164,5.17653365,5,53.600,,1.500,120,13,18,,
T,2021-10-15 14:39:45,52.08316826,5.17655779,5,53.900,,1.250,114,14,19,,
T,2021-10-15 14:39:46,52.08316043,5.17657539,5,53.900,,1.188,116,14,19,,
T,2021-10-15 14:39:47,52.08315401,5.17658888,5,53.900,,1.250,117,14,19,,
T,2021-10-15 14:39:48,52.08314178,5.17661269,5,53.800,,1.812,119,14,18,,
T,2021-10-15 14:39:49,52.08312631,5.17663348,5,53.700,,2.000,124,13,17,,
T,2021-10-15 14:39:50,52.08312090,5.17664546,5,53.700,,1.312,127,15,18,,
T,2021-10-15 14:39:51,52.08310967,5.17666189,5,53.700,,1.562,132,15,17,,
T,2021-10-15 14:39:52,52.08309400,5.17667740,5,53.900,,1.812,139,13,17,,
T,2021-10-15 14:39:53,52.08307979,5.17668192,5,54.000,,1.562,152,13,16,,
T,2021-10-15 14:39:54,52.08306776,5.17668578,5,54.100,,1.250,155,15,17,,
T,2021-10-15 14:39:55,52.08304635,5.17669776,5,54.200,,1.125,159,16,17,,
T,2021-10-15 14:39:56,52.08303742,5.17670715,5,54.100,,1.125,156,15,18,,
T,2021-10-15 14:39:57,52.08303499,5.17671403,5,54.000,,0.875,151,16,18,,
T,2021-10-15 14:39:58,52.08303847,5.17672241,5,53.800,,0.875,146,15,18,,
T,2021-10-15 14:39:59,52.08303315,5.17673506,5,54.000,,0.938,140,14,18,,
T,2021-10-15 14:40:00,52.08303390,5.17674621,5,53.900,,0.812,134,15,18,,
T,2021-10-15 14:40:01,52.08302795,5.17676700,5,53.900,,1.375,123,16,18,,
T,2021-10-15 14:40:02,52.08302967,5.17677890,5,53.700,,0.875,119,16,18,,
T,2021-10-15 14:40:03,52.08302933,5.17678753,5,53.700,,0.750,116,16,18,,
T,2021-10-15 14:40:04,52.08302187,5.17679793,5,53.800,,1.062,121,16,18,,
T,2021-10-15 14:40:05,52.08301387,5.17681360,5,54.000,,1.250,123,17,18,,
T,2021-10-15 14:40:06,52.08300649,5.17683146,5,54.000,,1.375,120,16,18,,
T,2021-10-15 14:40:07,52.08300197,5.17684269,5,54.200,,1.062,118,17,18,,
T,2021-10-15 14:40:08,52.08299861,5.17685551,5,54.400,,1.000,116,17,18,,
T,2021-10-15 14:40:09,52.08299870,5.17686741,5,54.400,,0.938,113,17,19,,
T,2021-10-15 14:40:10,52.08300159,5.17687990,5,54.400,,0.938,108,17,19,,
T,2021-10-15 14:40:11,52.08301253,5.17689390,5,54.800,,1.062,100,17,19,,
T,2021-10-15 14:40:12,52.08302200,5.17690597,5,55.500,,1.125,84,17,19,,
T,2021-10-15 14:40:13,52.08302950,5.17691343,5,55.700,,0.938,72,17,19,,
T,2021-10-15 14:40:14,52.08303558,5.17691159,5,55.800,,0.500,65,17,19,,
T,2021-10-15 14:40:15,52.08303629,5.17691469,5,55.900,,0.438,59,17,19,,
T,2021-10-15 14:40:16,52.08303952,5.17692667,5,56.200,,0.750,59,17,19,,
T,2021-10-15 14:40:17,52.08303767,5.17693304,5,56.200,,0.438,54,17,18,,
T,2021-10-15 14:40:18,52.08303847,5.17693564,5,56.100,,0.250,49,17,19,,
T,2021-10-15 14:40:19,52.08304262,5.17694453,5,56.300,,0.250,44,16,19,,
T,2021-10-15 14:40:20,52.08304262,5.17694453,5,56.300,,0.188,44,17,19,,
T,2021-10-15 14:40:21,52.08304262,5.17694453,5,56.300,,0.125,49,17,19,,
T,2021-10-15 14:40:22,52.08304262,5.17694453,5,56.300,,0.000,52,15,19,,
T,2021-10-15 14:40:23,52.08304262,5.17694453,5,56.300,,0.000,54,16,19,,
T,2021-10-15 14:40:24,52.08304262,5.17694453,5,56.300,,0.062,56,16,19,,
T,2021-10-15 14:40:25,52.08304262,5.17694453,5,56.300,,0.062,57,16,19,,
T,2021-10-15 14:40:26,52.08304262,5.17694453,5,56.300,,0.000,57,15,19,,
T,2021-10-15 14:40:27,52.08304262,5.17694453,5,56.300,,0.000,58,16,19,,
T,2021-10-15 14:40:28,52.08304262,5.17694453,5,56.300,,0.000,58,15,19,,
T,2021-10-15 14:40:29,52.08304262,5.17694453,5,56.300,,0.000,59,15,19,,
T,2021-10-15 14:40:30,52.08304262,5.17694453,5,56.300,,0.000,59,15,19,,
T,2021-10-15 14:40:31,52.08304262,5.17694453,5,56.300,,0.000,59,14,19,,
T,2021-10-15 14:40:32,52.08304262,5.17694453,5,56.300,,0.000,59,15,19,,
T,2021-10-15 14:40:33,52.08304262,5.17694453,5,56.300,,0.000,59,15,18,,
T,2021-10-15 14:40:34,52.08304262,5.17694453,5,56.300,,0.062,59,13,19,,
T,2021-10-15 14:40:35,52.08304262,5.17694453,5,56.300,,0.062,59,13,17,,
T,2021-10-15 14:40:36,52.08304262,5.17694453,5,56.300,,0.000,60,13,18,,
T,2021-10-15 14:40:37,52.08304262,5.17694453,5,56.300,,0.000,60,14,19,,
T,2021-10-15 14:40:38,52.08304262,5.17694453,5,56.300,,0.000,60,12,18,,
T,2021-10-15 14:40:39,52.08304262,5.17694453,5,56.300,,0.000,60,12,17,,
T,2021-10-15 14:40:40,52.08304262,5.17694453,5,56.300,,0.000,60,14,18,,
T,2021-10-15 14:40:41,52.08304262,5.17694453,5,56.300,,0.000,60,14,19,,
